wave,country,approval
1975,China,-0.681635336
1975,Russia/USSR,0.9765743394303035
1975,USA,-0.016590628
1977,China,-0.131700437
1977,Russia/USSR,0.8148041309860161
1977,USA,0.9063267632458318
1978,China,0.033098332
1978,Russia/USSR,0.850455229
1978,USA,0.9047454988880419
1980,China,-0.26787289
1980,Russia/USSR,0.8142487121734077
1980,USA,0.8292264572890388
1981,China,-0.215011407
1981,Russia/USSR,0.9876310385865971
1981,USA,0.6482150371336681
1982a,China,-0.120551233
1982a,Russia/USSR,0.8599806117554598
1982a,USA,0.5662869435660829
1982b,China,-0.077626102
1982b,Russia/USSR,1.0311669042861742
1982b,USA,0.5899671876224596
1983,China,-0.05529647
1983,Russia/USSR,0.9080897223754365
1983,USA,0.6964863670481948
1984a,China,0.013581323603738982
1984a,Russia/USSR,1.087680169071219
1984a,USA,0.8021298517398239
1984b,China,0.21498270356399451
1984b,Russia/USSR,1.054288010388819
1984b,USA,0.9249054090230736
1985a,China,0.064590542
1985a,Russia/USSR,1.196587697042891
1985a,USA,0.8698659498820709
1985b,China,-0.028726665
1985b,Russia/USSR,1.0289119134588152
1985b,USA,0.7887081547064372
1986a,China,-0.035844989
1986a,Russia/USSR,1.1833873163912583
1986a,USA,0.7687612853029863
1986b,China,-0.02171299
1986b,Russia/USSR,1.0839352449178756
1986b,USA,0.8213652879398737
1987a,China,-0.046822347
1987a,Russia/USSR,1.3183668021909956
1987a,USA,0.8998543016656825
1987b,China,0.057923291987880376
1987b,Russia/USSR,1.2671567656772997
1987b,USA,1.071523108489679
1988a,China,-0.069666106
1988a,Russia/USSR,1.3350949202593758
1988a,USA,0.9395443681513825
1988b,China,0.093441455
1988b,Russia/USSR,1.3483019647830798
1988b,USA,0.8739405429860339
1989,China,0.017761429
1989,Russia/USSR,1.4361242342929057
1989,USA,0.8524062639437059
1990a,China,0.013259195199186724
1990a,Russia/USSR,1.2332749885157033
1990a,USA,0.8235450910373595
1990b,China,0.022699695457793823
1990b,Russia/USSR,1.2832795199093858
1990b,USA,0.845362803
1991,China,0.2503303105655226
1991,Russia/USSR,1.1089371349789068
1991,USA,1.0060742792839978
1992a,China,0.174529711
1992a,Russia/USSR,0.7212973295336915
1992a,USA,0.9551116739062202
1992b,China,0.20081309675655146
1992b,Russia/USSR,0.6295944816776056
1992b,USA,0.7906254240277888
1993a,China,0.19102424619055736
1993a,Russia/USSR,0.6738029819901655
1993a,USA,0.9994400405430031
1993b,China,0.27594404285506435
1993b,Russia/USSR,0.676438051
1993b,USA,1.0187736879701863
1994a,China,0.3700802470365252
1994a,Russia/USSR,0.7620101386900419
1994a,USA,0.5000309791027433
1994b,China,0.3929188559639688
1994b,Russia/USSR,0.8548488249003646
1994b,USA,0.9355851449275364
1995,China,0.4685011775260728
1995,Russia/USSR,0.890540746
1995,USA,1.1794714444307388
1996a,China,0.34523082367660085
1996a,Russia/USSR,0.7937452560578777
1996a,USA,1.084638584893018
1996b,China,0.33455829455681696
1996b,Russia/USSR,0.8604695207892884
1996b,USA,1.0688069723411766
1997a,China,0.5403948600545756
1997a,Russia/USSR,0.8686797168581866
1997a,USA,1.0566923543180995
1997b,China,0.42515588740807886
1997b,Russia/USSR,0.8480046222785562
1997b,USA,1.1173510111863862
1998a,China,0.1532532846425595
1998a,Russia/USSR,0.9061739804160104
1998a,USA,0.8021577388617647
1998b,China,0.17376654478463704
1998b,Russia/USSR,0.8789420568781571
1998b,USA,0.8290926186323391
1999,China,0.31292868310205557
1999,Russia/USSR,1.0579629263748722
1999,USA,0.8415258058778016
2000a,China,0.5116619291519631
2000a,Russia/USSR,1.0229088714847108
2000a,USA,1.1953533399794636
2000b,China,0.6678797882196399
2000b,Russia/USSR,1.115559581676241
2000b,USA,1.3516369073157337
2001,China,0.7363325170323562
2001,Russia/USSR,1.056525030847876
2001,USA,1.4393333333333336
